COUNT,House Amount (in thousands),Senate Amount (in thousands),Full-Year CR Amount (in thousands),Program Increase,Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Emergency Funding (Senate),Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,,"$ 3,000",,Automated pavement assessment system,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,Clean modular hydropower,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 8,000","$ 8,000",Cold regions research and engineering laboratory,,,,No,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 5,500","$ 5,500",Cold weather mobility testing,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 6,000",,,Cross laminated timber,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 8,000",,Deep strength pavement,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,Dynamic loading and structural design,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 1,000",,Engineering practices for ecosystem design solutions,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 15,000",,"$ 2,000",Expeditionary additive construction,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,Expeditionary additive technology,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 5,000","$ 6,000",Expeditionary portable fission generator,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,"Explosives, chemical, and opioid detection technology",,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 1,400",,Extraction of rare earth elements from waste material,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 15,000",,,Extreme Metallic Alloys (Hypersonic Testing),68,James (MI),,Yes,,,Ground Advanced Technology,,Army,RDT&E,"O&M, Army"
,,"$ 2,500",,Extreme temperatures energy resilience research,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 10,000",,,Future of counter-UAS (FoCUS),,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 2,000","$ 1,000",Heavy vehicle simulator upgrades,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,High power fast charging for fleet modernization,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,In theater repair and construction of deployable assets,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 5,000","$ 2,500","$ 2,500",Innovative design and manufacturing of advanced composites multi-material protective systems / Innovative design and manufacturing of advanced composites/multi material protective systems,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,Methane capture and conversion,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 10,000",,"$ 10,000",Microgrid reliability and resiliency,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 6,000",,Microwave -based plasma system for PFAS destruction,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,Multifunction materials process for portable landing surfaces,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 3,500",,,Next generation construction materials for advanced pavement preservation,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 6,000",,,Novel materials for smart infrastructure systems,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 2,900",,PFAS clean up and destruction technology development,,,,No,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 5,000",,Power self-sufficiency,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 2,500",,Rechargeable lithium batteries,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 3,500",,Reconfigurable underground test and evaluation,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 3,000",,Remote assessment of winter surface conditions in forests,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 1,000",,Reusable polymer technology,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 10,000",,"$ 10,000",Ruggedized expeditionary self-contained generator,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 4,000",,,Ruggedized mobile power generation,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 4,000",,,Secure management of energy generation and storage,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,Self-contained power for towers and sensors,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 5,000","$ 2,500",Smart and resilient installations,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,Technology for compostable packaging materials,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 6,000","$ 3,000",,Wastewater reduction and reutilization system / Water reuse consortium,,,,Yes,,,Ground Advanced Technology,,Army,RDT&E,
,"$ 5,000","$ 3,000","$ 5,000",2D polymer scalable manufacturing,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 10,000","$ 4,000","$ 4,000",Advanced ceramics technologies / Ceramic materials for extreme environments,,,,No,,,Ground Technology,,Army,RDT&E,
,,"$ 6,000",,Advanced fabrics for battlefield protection,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 7,000","$ 2,000",,Advanced materials under extreme conditions data driven / Advanced materials under extreme environments,35,Dunn (FL),,Yes,,,Ground Technology,,Army,RDT&E,"O&M, Defense-Wide"
,"$ 6,500","$ 6,000","$ 6,500",Carbon nanomaterials as functional additives,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 3,000",,Composite machining for hypersonics,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 5,000",,,Consortium to develop cold-weather technology,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 10,000",,,Convergent manufacturing,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 7,500","$ 7,500",Critical hybrid advanced manufacturing processes,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 3,000",,Development of roadway repair materials,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 7,500",,Dynamic composite materials as a reconfigurable solution,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 2,500",,Electrolyzer technology,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 5,000",,,Engineered roadway repair materials,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 16,000",,,Flexible hybrid electronics,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 5,000","$ 6,750","$ 5,000",For scaling lightweight metallurgical development to re-shore titanium metal production to the U.S. / Scaling of lightweight metallurgical development,79,Kiggans (VA),,Yes,,,Ground Technology,,Army,RDT&E,"O&M, Army"
,"$ 5,000",,,Forging innovation initiative,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 3,300",,,Geosynthetic reinforced pavements,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 12,500","$ 12,500",High deposition structural alloy,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 2,500",,High temperature resin production weapon system parts and munitions,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 1,500",,High-entropy alloy development,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 5,000",,"$ 5,000",Integrity of transparent armor,,,,No,,,Ground Technology,,Army,RDT&E,
,,"$ 7,000",,Invincible materials technology research,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 6,000",,,Isostatic Advanced Armor Production program,179,"Wagner (MO), Alford (MO)",,Yes,,,Ground Technology,,Army,RDT&E,"O&M, Defense-Wide"
,,"$ 8,000",,Materials technology for rare earth elements,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 2,000",,Microbial biomanufacturing for critical supply chains,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 5,000",,Minority leaders research collaboration program,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 2,800",,"$ 2,800",Multimodal pavement scanner array,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 2,000",,PFAS predictive modeling,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 5,000","$ 5,000",Polar proving ground,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 6,000","$ 6,000",Protective coatings,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 10,000",,"$ 10,000",Rapid advanced deposition,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 3,000",,Rapid ultra-lightweight infrastructure manufacturing,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 8,000",,Rare earth extraction demonstration,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 1,000",,Regional hydrological integrated modeling system,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 5,000",,"$ 5,000",Reuse consortium for water resiliency at installations,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 4,000","$ 4,000",Soil stabilization,,,,No,,,Ground Technology,,Army,RDT&E,
,"$ 5,000",,"$ 5,000",Sustainable solutions for coatings,,,,Yes,,,Ground Technology,,Army,RDT&E,
,"$ 5,000",,"$ 5,000",Weather forecasting for real time decisions,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 3,000","$ 3,000",Windstorm resilience for facilities,,,,Yes,,,Ground Technology,,Army,RDT&E,
,,"$ 8,000",,High performance computing modernization program,,,,No,,,High Performance Computing Modernization Program,,Army,RDT&E,
,"$ 15,728","$ 14,000","$ 14,000",Program increase,,,,No,,,Humanitarian Demining,,Army,RDT&E,
,"$ 63,000","$ 63,000","$ 63,000",Improved Turbine Engine Program / Program increase,182,"Wenstrup (OH), Moulton (MA), et al.",,No,,,Improved Turbine Engine Program,,Army,RDT&E,"RDT&E, Army"
,"$ 5,000",,,AI-enabled weapons sensors,,,,Yes,,,Infantry Support Weapons,,Army,RDT&E,
,"$ 6,600",,,Blank ammunition simulation,,,,Yes,,,Infantry Support Weapons,,Army,RDT&E,
,"$ 3,000",,,Cannon life extension program,,,,Yes,,,Infantry Support Weapons,,Army,RDT&E,
,,"$ 2,000",,Load carriage system in support of wildfire suppression operations,,,,No,,,Infantry Support Weapons,,Army,RDT&E,
,,"$ 5,225","$ 5,100",Soldier enhacement program,,,,Yes,,,Infantry Support Weapons,,Army,RDT&E,
,"$ 8,000","$ 2,000","$ 2,000","Autonomous detection, classification, and geo-location of landmines",,,,Yes,,,Landmine Warfare and Barrier - Adv Dev,,Army,RDT&E,
,,"$ 12,500",,Joint all domain training center,,,,Yes,,,Landmine Warfare/Barrier - Eng Dev,,Army,RDT&E,
,"$ 35,000",,"$ 35,000",Prototype integration,,,,Yes,,,Landmine Warfare/Barrier - Eng Dev,,Army,RDT&E,
,,"$ 4,000","$ 4,000",Autonomous long-range resupply,,,,Yes,,,Lethality Advanced Technology,,Army,RDT&E,
,"$ 10,000",,,Coutner UAS experiment,,,,Yes,,,Lethality Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,"High strength ordnance packaging, handling, storage and transportation",,,,Yes,,,Lethality Advanced Technology,,Army,RDT&E,
,"$ 21,000","$ 15,000",,Hypersonic Test Infrastructure,106,"Luttrell (TX), McCaul (TX)",,No,,,Lethality Advanced Technology,,Army,RDT&E,"O&M, Defense-Wide"
,"$ 10,000",,"$ 15,000",Hypersonics test range infrastructure,,,,Yes,,,Lethality Advanced Technology,,Army,RDT&E,
,,"$ 4,000","$ 4,000",Additive manufacturing for missile applications,,,,Yes,,,Lethality Technology,,Army,RDT&E,
,,"$ 6,000","$ 6,000",Advanced materials and manufacturing for hypersonics,,,,No,,,Lethality Technology,,Army,RDT&E,
,"$ 10,000","$ 20,000","$ 20,000",Advanced materials and manufacturing for modernization,,,,No,,,Lethality Technology,,Army,RDT&E,
,"$ 10,000","$ 4,000","$ 4,000",Assured AI-based autonomous rescue missions / AI-enhanced autonomous rescue missions,,,,Yes,,,Lethality Technology,,Army,RDT&E,
,"$ 15,000",,,Carbon composites for hypersonic weapons,,,,No,,,Lethality Technology,,Army,RDT&E,
,,"$ 2,500",,Ceramic protection materials,,,,Yes,,,Lethality Technology,,Army,RDT&E,
,"$ 10,000",,,Counter UAS for the tactical and operational force,,,,No,,,Lethality Technology,,Army,RDT&E,
,,"$ 2,000",,Enhancing critical materials supply chain,,,,Yes,,,Lethality Technology,,Army,RDT&E,
,"$ 15,000",,,Passive C-UAS technologies to detect unidentified and potentially adversarial UAS threats,166,Tenney (NY),,Yes,,,Lethality Technology,,Army,RDT&E,"O&M, Defense-Wide"
,,"$ 1,500",,Powder metallurgical processing,,,,Yes,,,Lethality Technology,,Army,RDT&E,
,"$ 10,000",,,SCIF university facility upgrades,,,,Yes,,,Lethality Technology,,Army,RDT&E,
,,"$ 3,000",,Turret gunner survivability and simulation environment,,,,Yes,,,Lethality Technology,,Army,RDT&E,
,,"$ 3,000","$ 3,000",HMMWV occupancy prtotection development,,,,Yes,,,Light Tactical Wheeled Vehicles,,Army,RDT&E,
,"$ 15,000","$ 10,000","$ 10,000",Army executive agent program / Army executive agent program microreactors,,,,Yes,,,Logistics and Engineer Equipment - Adv Dev,,Army,RDT&E,
,,"$ 12,000",,"Deployable, energy efficient, rigid wall shelter",,,,Yes,,,Logistics and Engineer Equipment - Eng Dev,,Army,RDT&E,
,"$ 5,000","$ 5,000","$ 5,000",Mobile ULCANS,,,,Yes,,,Logistics and Engineer Equipment - Eng Dev,,Army,RDT&E,
,"$ 15,000",,,Advanced manufacturing of propellants needed for 155mm and other munitions,165,Tenney (NY),,Yes,,,Long Range Precision Fires Advanced Technology,,Army,RDT&E,"O&M, Defense-Wide"
,,"$ 3,000",,Digital engineering for missile technology,,,,Yes,,,Long Range Precision Fires Advanced Technology,,Army,RDT&E,
,"$ 9,000",,,Low-cost rocket propulsion for affordable mass on target,82,"Kiggans (VA), Moylan (GU)",,Yes,,,Long Range Precision Fires Advanced Technology,,Army,RDT&E,"RDT&E, Army"
,,"$ 2,000",,Mass launched effects munition,,,,Yes,,,Long Range Precision Fires Advanced Technology,,Army,RDT&E,
,"$ 8,500","$ 8,500","$ 8,500",Advanced manufacturing of energetic materials,,,,Yes,,,Long Range Precision Fires Technology,,Army,RDT&E,
,"$ 10,000",,,Aerostructure development,,,,Yes,,,Long Range Precision Fires Technology,,Army,RDT&E,
,,"$ 12,500",,Biosynthesizing of critical chemicals,,,,Yes,,,Long Range Precision Fires Technology,,Army,RDT&E,
,,"$ 12,500",,High speed missile materials,,,,Yes,,,Long Range Precision Fires Technology,,Army,RDT&E,
,"$ 20,000",,"$ 20,000",Hypersonic additive manufacturing,,,,Yes,,,Long Range Precision Fires Technology,,Army,RDT&E,
,"$ 10,000",,,Reactive alloy munition with enhanced blast for force modernization,,,,Yes,,,Long Range Precision Fires Technology,,Army,RDT&E,
,,"$ 7,000","$ 7,000",Reactive materials,,,,Yes,,,Long Range Precision Fires Technology,,Army,RDT&E,
,"$ 5,000",,"$ 5,000",Advanced Sensing Expanded Range Operations (ASERO),161,"Strong (AL), Carter (LA)",,Yes,,,Major T&E Investment,,Army,RDT&E,"RDT&E, Army"
,"$ 15,000",,"$ 15,000",Advancing operational test infrastructure,,,,No,,,Major T&E Investment,,Army,RDT&E,
,"$ 5,000",,,Concussion Dosimeter Research Initiative,147,"Phillips (MN), Hudson (NC)",,Yes,,,Medical Advanced Technology,,Army,RDT&E,"RDT&E, Army"
,"$ 5,000",,"$ 5,000",Development of medical prophylaxis against radiological and nuclear threats,,,,Yes,,,Medical Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,Hearing protection for communications,,,,Yes,,,Medical Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,"Suicide prevention with a focus on rural, remote, isolated and OCONUS installations",,,,Yes,,,Medical Advanced Technology,,Army,RDT&E,
,,"$ 1,500",,Biomaterials for combat wound care,,,,Yes,,,Medical Technology,,Army,RDT&E,
,,"$ 5,000",,Blast surrogate platforms,,,,Yes,,,Medical Technology,,Army,RDT&E,
,,"$ 4,000",,Degradable metal alloy for orthopedic implants,,,,Yes,,,Medical Technology,,Army,RDT&E,
,,"$ 8,000",,Female warfighter health and readiness,,,,Yes,,,Medical Technology,,Army,RDT&E,
,"$ 8,000",,,Female Warfighter TBI Research,115,McGovern (MA),,Yes,,,Medical Technology,,Army,RDT&E,"RDT&E, Army"
,"$ 9,850",,,For development and transition of a rapid deployable synthetic peptide vaccine,130,Moore (UT),,Yes,,,Medical Technology,,Army,RDT&E,"RDT&E, Army"
,"$ 5,000","$ 2,500",,Military optimization of warfighters’ musculoskeletal health & performance during deployment preparation and actual deployment / Musculoskeletal health and performance research,167,"Thompson (PA), Bacon (NE), Meuser (PA)",,Yes,,,Medical Technology,,Army,RDT&E,"O&M, Defense-Wide"
,,"$ 5,000",,Nanomaterials for bone regeneration,,,,Yes,,,Medical Technology,,Army,RDT&E,
,,"$ 10,000",,Physiological study of female warfighters to improve training,,,,Yes,,,Medical Technology,,Army,RDT&E,
,,"$ 1,000",,Servicemember sleep research,,,,No,,,Medical Technology,,Army,RDT&E,
,"$ 3,000",,,Surgical instrument sterilization,,,,Yes,,,Medical Technology,,Army,RDT&E,
,,"$ 2,000",,Trauma immunology,,,,Yes,,,Medical Technology,,Army,RDT&E,
,"$ 5,000",,,Geographic change detection,,,,Yes,,,Multi-Domain Intelligence,,Army,RDT&E,
,"$ 10,000",,,NexGen intel mission operations support,,,,Yes,,,Multi-Domain Intelligence,,Army,RDT&E,
,"$ 3,000",,,Project matrix software,,,,Yes,,,Multi-Domain Intelligence,,Army,RDT&E,
,"$ 20,000",,,Aerial ISR electro-optical confirmation,,,,Yes,,,Multi-Domain Sensing System (MDSS) Adv Dev,,Army,RDT&E,
,,"$ 2,500",,Multi-domain experimentation and integration,,,,No,,,Multi-Domain Sensing System (MDSS) Adv Dev,,Army,RDT&E,
,,"$ 6,000",,Multimodal generative AI foreign language solutions,,,,Yes,,,Multi-Domain Sensing System (MDSS) Adv Dev,,Army,RDT&E,
,,"$ 5,000",,Non-kinetic training and experimentation environment,,,,Yes,,,Multi-Domain Sensing System (MDSS) Adv Dev,,Army,RDT&E,
,,"$ 2,500",,Industrial base resiliency,,,,No,,,"Munitions Standardization, Effectiveness and Safety",,Army,RDT&E,
,,"$ 8,500","$ 6,000",Advanced dynamic spectrum reconnaissance,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,,"$ 7,600",,Advanced polymer aerogel technology,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,,"$ 15,000","$ 15,000",C5ISR modular open suite of standards integration,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,,"$ 1,000",,Characterization of dynamic terrain conditions,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,,"$ 3,000",,Compact mobile command post auxiliary power unit,,,,No,,,Network C3I Advanced Technology,,Army,RDT&E,
,,"$ 5,000",,Decision aided tool for battlefield terrain awareness,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,"$ 10,000",,,Dynamic tactical networking,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,"$ 2,500","$ 3,000","$ 3,000",Geophysical Littoral Autonomous Detection and Exploitation (GLADE) / Littoral autonomous detection and exploitation,77,"Kelly (MS), Guest (MS)",,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,"RDT&E, Army"
,,"$ 4,000",,Modular open systems architecture development for radio frequency systems,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,,"$ 5,000",,Next generation command platform,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,Resilient emergency communications,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,,"$ 10,800","$ 10,800",Subterranean research facility,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,,"$ 3,000","$ 3,000",Textile-integrated detector arrays,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
,"$ 10,000",,"$ 10,000",Unified distributed computing capability,,,,Yes,,,Network C3I Advanced Technology,,Army,RDT&E,
